time,FHR1,FHR2,UC
582.0,142,142,0.057
582.5,139,128,0.084
583.0,147,140,0.047
583.5,152,145,0.048
584.0,146,136,0.076
584.5,140,141,0.093
585.0,154,138,0.078
585.5,142,147,0.057
586.0,146,133,0.097
586.5,141,142,0.051
587.0,140,142,0.11
587.5,135,132,0.067
588.0,147,138,0.065
588.5,146,141,0.068
589.0,141,140,0.078
589.5,149,137,0.091
590.0,153,150,0.06
590.5,151,145,0.084
591.0,155,152,0.109
591.5,156,145,0.133
592.0,155,149,0.158
592.5,158,147,0.182
593.0,138,137,0.207
593.5,142,129,0.231
594.0,143,137,0.256
594.5,148,145,0.28
595.0,137,140,0.28
595.5,139,145,0.256
596.0,149,142,0.231
596.5,140,138,0.207
597.0,145,132,0.182
597.5,147,145,0.158
598.0,154,140,0.133
598.5,141,136,0.109
599.0,146,137,0.084
599.5,147,137,0.06
600.0,132,135,0.053
