LB,UC,time
142,0.008,699.0
142,0.009,699.5
142,0.006,700.0
142,0.005,700.5
145,0.001,701.0
145,0.002,701.5
145,0.003,702.0
145,0.003,702.5
145,0.002,703.0
145,0.003,703.5
145,0.004,704.0
145,0.007,704.5
145,0.006,705.0
145,0.008,705.5
142,0.005,706.0
142,0.003,706.5
142,0.007,707.0
142,0.008,707.5
142,0.007,708.0
142,0.008,708.5
142,0.009,709.0
142,0.006,709.5
142,0.007,710.0
142,0.007,710.5
142,0.006,711.0
142,0.007,711.5
144,0.005,712.0
144,0.001,712.5
144,0.005,713.0
144,0.004,713.5
144,0.005,714.0
144,0.005,714.5
144,0.005,715.0
144,0.006,715.5
144,0.006,716.0
144,0.006,716.5
144,0.006,717.0
144,0.006,717.5
146,0.004,718.0
146,0.006,718.5
146,0.005,719.0
146,0.003,719.5
146,0.004,720.0
146,0.004,720.5
147,0.004,721.0
147,0.003,721.5
147,0.006,722.0
147,0.005,722.5
147,0.004,723.0
147,0.002,723.5
147,0.006,724.0
147,0.01,724.5
148,0.004,725.0
148,0.005,725.5
148,0.005,726.0
148,0.008,726.5
148,0.005,727.0
148,0.007,727.5
148,0.004,728.0
148,0.002,728.5
148,0.002,729.0
148,0.004,729.5
148,0.007,730.0
148,0.005,730.5
148,0.005,731.0
148,0.006,731.5
148,0.006,732.0
148,0.007,732.5
148,0.007,733.0
148,0.005,733.5
148,0.009,734.0
148,0.005,734.5
148,0.003,735.0
148,0.007,735.5
148,0.005,736.0
148,0.008,736.5
148,0.008,737.0
149,0.009,737.5
149,0.007,738.0
149,0.009,738.5
149,0.01,739.0
149,0.011,739.5
149,0.008,740.0
132,0.008,740.5
132,0.007,741.0
132,0.008,741.5
132,0.009,742.0
132,0.01,742.5
132,0.008,743.0
132,0.011,743.5
132,0.008,744.0
132,0.006,744.5
132,0.009,745.0
132,0.008,745.5
132,0.011,746.0
132,0.01,746.5
132,0.01,747.0
132,0.009,747.5
132,0.01,748.0
132,0.011,748.5
132,0.009,749.0
132,0.009,749.5
